date,monitoring_location,daily_total
2020-05-12,Inglewood Bird Sanctuary,323
2020-05-12,Lindsay Park,174
2020-05-12,Memorial Drive at 19 St NW,935
2020-05-12,Memorial Drive at Prince's Island,479
2020-05-12,North Glenmore,0
2020-05-12,Nose Creek,427
2020-05-12,Parkdale,1035
2020-05-12,Peace Bridge,669
2020-05-12,South Glenmore,710
2020-05-12,Wetlands,0
2020-05-13,10 Street North of 5 Ave NW,0
2020-05-13,12 Ave West of 2 St SW,642
2020-05-13,12 Ave West of 3 St SE,0
2020-05-13,12 Ave West of 8 St SW,640
2020-05-13,12 Street SE Pathway,679
2020-05-13,5 Street North of 10 Ave SW,1172
2020-05-13,5 Street North of 15 Ave SW,792
2020-05-13,5 Street North of 5 Ave SW,859
2020-05-13,7 Street South of 3 Ave SW,217
2020-05-13,9 Ave West of 4 Street SE,151
2020-05-13,Bow River Pathway,2172
2020-05-13,Edmonton Tr North of Memorial Dr,273
2020-05-13,Inglewood Bird Sanctuary,1069
2020-05-13,Lindsay Park,582
2020-05-13,Memorial Drive at 19 St NW,2287
2020-05-13,Memorial Drive at Prince's Island,1368
2020-05-13,North Glenmore,0
2020-05-13,Nose Creek,1395
2020-05-13,Parkdale,2778
2020-05-13,Peace Bridge,1726
2020-05-13,South Glenmore,2011
2020-05-13,Wetlands,0
2020-05-14,10 Street North of 5 Ave NW,0
2020-05-14,12 Ave West of 2 St SW,535
2020-05-14,12 Ave West of 3 St SE,0
2020-05-14,12 Ave West of 8 St SW,529
2020-05-14,12 Street SE Pathway,440
2020-05-14,5 Street North of 10 Ave SW,972
2020-05-14,5 Street North of 15 Ave SW,628
2020-05-14,5 Street North of 5 Ave SW,674
2020-05-14,7 Street South of 3 Ave SW,252
2020-05-14,9 Ave West of 4 Street SE,108
2020-05-14,Bow River Pathway,1590
2020-05-14,Edmonton Tr North of Memorial Dr,210
2020-05-14,Inglewood Bird Sanctuary,657
2020-05-14,Lindsay Park,437
2020-05-14,Memorial Drive at 19 St NW,1786
2020-05-14,Memorial Drive at Prince's Island,937
2020-05-14,North Glenmore,0
2020-05-14,Nose Creek,883
2020-05-14,Parkdale,1953
2020-05-14,Peace Bridge,1334
2020-05-14,South Glenmore,1473
2020-05-14,Wetlands,0
2020-05-15,10 Street North of 5 Ave NW,0
2020-05-15,12 Ave West of 2 St SW,628
2020-05-15,12 Ave West of 3 St SE,0
2020-05-15,12 Ave West of 8 St SW,610
2020-05-15,12 Street SE Pathway,582
2020-05-15,5 Street North of 10 Ave SW,983
2020-05-15,5 Street North of 15 Ave SW,684
2020-05-15,5 Street North of 5 Ave SW,687
2020-05-15,7 Street South of 3 Ave SW,341
2020-05-15,9 Ave West of 4 Street SE,126
2020-05-15,Bow River Pathway,1641
2020-05-15,Edmonton Tr North of Memorial Dr,226
2020-05-15,Inglewood Bird Sanctuary,873
2020-05-15,Lindsay Park,452
2020-05-15,Memorial Drive at 19 St NW,1773
2020-05-15,Memorial Drive at Prince's Island,1169
2020-05-15,North Glenmore,0
2020-05-15,Nose Creek,1121
2020-05-15,Parkdale,2121
2020-05-15,Peace Bridge,1471
2020-05-15,South Glenmore,1641
2020-05-15,Wetlands,0
2020-05-16,10 Street North of 5 Ave NW,0
2020-05-16,12 Ave West of 2 St SW,837
2020-05-16,12 Ave West of 3 St SE,0
2020-05-16,12 Ave West of 8 St SW,770
2020-05-16,12 Street SE Pathway,968
2020-05-16,5 Street North of 10 Ave SW,1335
2020-05-16,5 Street North of 15 Ave SW,948
2020-05-16,5 Street North of 5 Ave SW,1007
2020-05-16,7 Street South of 3 Ave SW,276
2020-05-16,9 Ave West of 4 Street SE,151
2020-05-16,Bow River Pathway,2714
2020-05-16,Edmonton Tr North of Memorial Dr,331
2020-05-16,Inglewood Bird Sanctuary,1702
2020-05-16,Lindsay Park,868
2020-05-16,Memorial Drive at 19 St NW,3240
2020-05-16,Memorial Drive at Prince's Island,1206
2020-05-16,North Glenmore,0
2020-05-16,Nose Creek,1724
2020-05-16,Parkdale,3595
2020-05-16,Peace Bridge,2488
2020-05-16,South Glenmore,2613
2020-05-16,Wetlands,0
2020-05-17,10 Street North of 5 Ave NW,0
2020-05-17,12 Ave West of 2 St SW,678
2020-05-17,12 Ave West of 3 St SE,0
2020-05-17,12 Ave West of 8 St SW,693
2020-05-17,12 Street SE Pathway,872
2020-05-17,5 Street North of 10 Ave SW,1102
2020-05-17,5 Street North of 15 Ave SW,836
2020-05-17,5 Street North of 5 Ave SW,798
2020-05-17,7 Street South of 3 Ave SW,296
2020-05-17,9 Ave West of 4 Street SE,147
2020-05-17,Bow River Pathway,2420
2020-05-17,Edmonton Tr North of Memorial Dr,342
2020-05-17,Inglewood Bird Sanctuary,1448
2020-05-17,Lindsay Park,725
2020-05-17,Memorial Drive at 19 St NW,2794
2020-05-17,Memorial Drive at Prince's Island,1058
2020-05-17,North Glenmore,0
2020-05-17,Nose Creek,1529
2020-05-17,Parkdale,3161
2020-05-17,Peace Bridge,2016
2020-05-17,South Glenmore,2459
2020-05-17,Wetlands,0
2020-05-18,10 Street North of 5 Ave NW,0
2020-05-18,12 Ave West of 2 St SW,591
2020-05-18,12 Ave West of 3 St SE,0
2020-05-18,12 Ave West of 8 St SW,540
2020-05-18,12 Street SE Pathway,759
2020-05-18,5 Street North of 10 Ave SW,1050
2020-05-18,5 Street North of 15 Ave SW,784
2020-05-18,5 Street North of 5 Ave SW,782
2020-05-18,7 Street South of 3 Ave SW,141
2020-05-18,9 Ave West of 4 Street SE,114
2020-05-18,Bow River Pathway,2412
2020-05-18,Edmonton Tr North of Memorial Dr,304
2020-05-18,Inglewood Bird Sanctuary,1378
2020-05-18,Lindsay Park,704
2020-05-18,Memorial Drive at 19 St NW,2688
2020-05-18,Memorial Drive at Prince's Island,1008
2020-05-18,North Glenmore,0
2020-05-18,Nose Creek,1585
2020-05-18,Parkdale,3018
2020-05-18,Peace Bridge,2057
2020-05-18,South Glenmore,2417
2020-05-18,Wetlands,0
2020-05-19,10 Street North of 5 Ave NW,0
2020-05-19,12 Ave West of 2 St SW,324
2020-05-19,12 Ave West of 3 St SE,0
2020-05-19,12 Ave West of 8 St SW,301
2020-05-19,12 Street SE Pathway,232
2020-05-19,5 Street North of 10 Ave SW,551
2020-05-19,5 Street North of 15 Ave SW,335
2020-05-19,5 Street North of 5 Ave SW,374
2020-05-19,7 Street South of 3 Ave SW,84
2020-05-19,9 Ave West of 4 Street SE,58
2020-05-19,Bow River Pathway,786
2020-05-19,Edmonton Tr North of Memorial Dr,113
2020-05-19,Inglewood Bird Sanctuary,298
2020-05-19,Lindsay Park,175
2020-05-19,Memorial Drive at 19 St NW,761
2020-05-19,Memorial Drive at Prince's Island,459
2020-05-19,North Glenmore,0
2020-05-19,Nose Creek,400
2020-05-19,Parkdale,816
2020-05-19,Peace Bridge,667
2020-05-19,South Glenmore,649
2020-05-19,Wetlands,0
2020-05-20,10 Street North of 5 Ave NW,0
2020-05-20,12 Ave West of 2 St SW,177
2020-05-20,12 Ave West of 3 St SE,0
2020-05-20,12 Ave West of 8 St SW,222
2020-05-20,12 Street SE Pathway,93
2020-05-20,5 Street North of 10 Ave SW,372
2020-05-20,5 Street North of 15 Ave SW,194
2020-05-20,5 Street North of 5 Ave SW,197
2020-05-20,7 Street South of 3 Ave SW,41
2020-05-20,9 Ave West of 4 Street SE,43
2020-05-20,Bow River Pathway,410
2020-05-20,Edmonton Tr North of Memorial Dr,72
2020-05-20,Inglewood Bird Sanctuary,132
2020-05-20,Lindsay Park,69
2020-05-20,Memorial Drive at 19 St NW,405
2020-05-20,Memorial Drive at Prince's Island,211
2020-05-20,North Glenmore,0
2020-05-20,Nose Creek,181
2020-05-20,Parkdale,452
2020-05-20,Peace Bridge,348
2020-05-20,South Glenmore,284
2020-05-20,Wetlands,0
2020-05-21,10 Street North of 5 Ave NW,0
2020-05-21,12 Ave West of 2 St SW,58
2020-05-21,12 Ave West of 3 St SE,0
2020-05-21,12 Ave West of 8 St SW,65
2020-05-21,12 Street SE Pathway,24
2020-05-21,5 Street North of 10 Ave SW,128
2020-05-21,5 Street North of 15 Ave SW,73
2020-05-21,5 Street North of 5 Ave SW,79
2020-05-21,7 Street South of 3 Ave SW,56
2020-05-21,9 Ave West of 4 Street SE,24
2020-05-21,Bow River Pathway,119
2020-05-21,Edmonton Tr North of Memorial Dr,24
2020-05-21,Inglewood Bird Sanctuary,32
2020-05-21,Lindsay Park,25
2020-05-21,Memorial Drive at 19 St NW,124
2020-05-21,Memorial Drive at Prince's Island,64
2020-05-21,North Glenmore,0
2020-05-21,Nose Creek,68
2020-05-21,Parkdale,113
2020-05-21,Peace Bridge,120
2020-05-21,South Glenmore,38
2020-05-21,Wetlands,0
2020-05-22,10 Street North of 5 Ave NW,0
2020-05-22,12 Ave West of 2 St SW,117
2020-05-22,12 Ave West of 3 St SE,0
2020-05-22,12 Ave West of 8 St SW,118
2020-05-22,12 Street SE Pathway,51
2020-05-22,5 Street North of 10 Ave SW,211
2020-05-22,5 Street North of 15 Ave SW,111
2020-05-22,5 Street North of 5 Ave SW,110
2020-05-22,7 Street South of 3 Ave SW,198
2020-05-22,9 Ave West of 4 Street SE,30
2020-05-22,Bow River Pathway,204
2020-05-22,Edmonton Tr North of Memorial Dr,30
2020-05-22,Inglewood Bird Sanctuary,57
2020-05-22,Lindsay Park,64
2020-05-22,Memorial Drive at 19 St NW,173
2020-05-22,Memorial Drive at Prince's Island,98
2020-05-22,North Glenmore,0
2020-05-22,Nose Creek,98
2020-05-22,Parkdale,195
2020-05-22,Peace Bridge,316
2020-05-22,South Glenmore,145
2020-05-22,Wetlands,0
2020-05-23,10 Street North of 5 Ave NW,0
2020-05-23,12 Ave West of 2 St SW,477
2020-05-23,12 Ave West of 3 St SE,0
2020-05-23,12 Ave West of 8 St SW,515
2020-05-23,12 Street SE Pathway,585
2020-05-23,5 Street North of 15 Ave SW,554
2020-05-23,5 Street North of 5 Ave SW,602
2020-05-23,7 Street South of 3 Ave SW,316
2020-05-23,9 Ave West of 4 Street SE,133
2020-05-23,Bow River Pathway,1646
2020-05-23,Edmonton Tr North of Memorial Dr,207
2020-05-23,Inglewood Bird Sanctuary,909
2020-05-23,Lindsay Park,418
2020-05-23,Memorial Drive at 19 St NW,1794
2020-05-23,Memorial Drive at Prince's Island,705
2020-05-23,North Glenmore,0
2020-05-23,Nose Creek,1040
2020-05-23,Parkdale,2020
2020-05-23,Peace Bridge,1625
2020-05-23,South Glenmore,1708
2020-05-23,Wetlands,0
2020-05-24,10 Street North of 5 Ave NW,0
2020-05-24,12 Ave West of 2 St SW,986
2020-05-24,12 Ave West of 3 St SE,0
2020-05-24,12 Ave West of 8 St SW,859
2020-05-24,12 Street SE Pathway,1259
2020-05-24,5 Street North of 15 Ave SW,1152
2020-05-24,5 Street North of 5 Ave SW,1173
2020-05-24,7 Street South of 3 Ave SW,241
2020-05-24,9 Ave West of 4 Street SE,200
2020-05-24,Bow River Pathway,3428
2020-05-24,Edmonton Tr North of Memorial Dr,420
2020-05-24,Inglewood Bird Sanctuary,2214
2020-05-24,Lindsay Park,925
2020-05-24,Memorial Drive at 19 St NW,3997
2020-05-24,Memorial Drive at Prince's Island,1251
2020-05-24,North Glenmore,0
2020-05-24,Nose Creek,2483
2020-05-24,Parkdale,4532
2020-05-24,Peace Bridge,3185
2020-05-24,South Glenmore,3424
2020-05-24,Wetlands,0
2020-05-25,10 Street North of 5 Ave NW,0
2020-05-25,12 Ave West of 2 St SW,600
2020-05-25,12 Ave West of 3 St SE,0
2020-05-25,12 Ave West of 8 St SW,603
2020-05-25,12 Street SE Pathway,445
2020-05-25,5 Street North of 15 Ave SW,622
2020-05-25,5 Street North of 5 Ave SW,643
2020-05-25,7 Street South of 3 Ave SW,206
2020-05-25,9 Ave West of 4 Street SE,170
2020-05-25,Bow River Pathway,1601
2020-05-25,Edmonton Tr North of Memorial Dr,221
2020-05-25,Inglewood Bird Sanctuary,859
2020-05-25,Lindsay Park,395
2020-05-25,Memorial Drive at 19 St NW,1659
2020-05-25,Memorial Drive at Prince's Island,961
2020-05-25,North Glenmore,0
2020-05-25,Nose Creek,913
2020-05-25,Parkdale,1804
2020-05-25,Peace Bridge,1545
2020-05-25,South Glenmore,1378
2020-05-25,Wetlands,0
2020-05-26,10 Street North of 5 Ave NW,0
2020-05-26,12 Ave West of 2 St SW,421
2020-05-26,12 Ave West of 3 St SE,0
2020-05-26,12 Ave West of 8 St SW,497
2020-05-26,12 Street SE Pathway,320
2020-05-26,5 Street North of 15 Ave SW,512
2020-05-26,5 Street North of 5 Ave SW,525
2020-05-26,7 Street South of 3 Ave SW,370
2020-05-26,9 Ave West of 4 Street SE,101
2020-05-26,Bow River Pathway,1276
2020-05-26,Edmonton Tr North of Memorial Dr,185
2020-05-26,Inglewood Bird Sanctuary,479
2020-05-26,Lindsay Park,271
2020-05-26,Memorial Drive at 19 St NW,1146
2020-05-26,Memorial Drive at Prince's Island,654
2020-05-26,North Glenmore,0
2020-05-26,Nose Creek,654
2020-05-26,Parkdale,1221
2020-05-26,Peace Bridge,1231
2020-05-26,South Glenmore,1018
2020-05-26,Wetlands,0
2020-05-27,10 Street North of 5 Ave NW,0
2020-05-27,12 Ave West of 2 St SW,707
2020-05-27,12 Ave West of 3 St SE,0
2020-05-27,12 Ave West of 8 St SW,766
2020-05-27,12 Street SE Pathway,630
2020-05-27,5 Street North of 15 Ave SW,826
2020-05-27,5 Street North of 5 Ave SW,928
2020-05-27,7 Street South of 3 Ave SW,360
2020-05-27,9 Ave West of 4 Street SE,167
2020-05-27,Bow River Pathway,2196
2020-05-27,Edmonton Tr North of Memorial Dr,300
2020-05-27,Inglewood Bird Sanctuary,1028
2020-05-27,Lindsay Park,497
2020-05-27,Memorial Drive at 19 St NW,2220
2020-05-27,Memorial Drive at Prince's Island,1285
2020-05-27,North Glenmore,0
2020-05-27,Nose Creek,1296
2020-05-27,Parkdale,2436
2020-05-27,Peace Bridge,2105
2020-05-27,South Glenmore,1992
2020-05-27,Wetlands,0
2020-05-28,10 Street North of 5 Ave NW,0
2020-05-28,12 Ave West of 2 St SW,699
2020-05-28,12 Ave West of 3 St SE,0
2020-05-28,12 Ave West of 8 St SW,711
2020-05-28,12 Street SE Pathway,521
2020-05-28,5 Street North of 15 Ave SW,797
2020-05-28,5 Street North of 5 Ave SW,833
2020-05-28,7 Street South of 3 Ave SW,391
2020-05-28,9 Ave West of 4 Street SE,141
2020-05-28,Bow River Pathway,1972
2020-05-28,Edmonton Tr North of Memorial Dr,229
2020-05-28,Inglewood Bird Sanctuary,830
2020-05-28,Lindsay Park,550
2020-05-28,Memorial Drive at 19 St NW,1923
2020-05-28,Memorial Drive at Prince's Island,1052
2020-05-28,North Glenmore,0
2020-05-28,Nose Creek,1028
2020-05-28,Parkdale,2214
2020-05-28,Peace Bridge,1821
2020-05-28,South Glenmore,1646
2020-05-28,Wetlands,0
2020-05-29,10 Street North of 5 Ave NW,0
2020-05-29,12 Ave West of 2 St SW,780
2020-05-29,12 Ave West of 3 St SE,0
2020-05-29,12 Ave West of 8 St SW,815
2020-05-29,12 Street SE Pathway,727
2020-05-29,5 Street North of 15 Ave SW,960
2020-05-29,5 Street North of 5 Ave SW,1003
2020-05-29,7 Street South of 3 Ave SW,388
2020-05-29,9 Ave West of 4 Street SE,213
2020-05-29,Bow River Pathway,2334
2020-05-29,Edmonton Tr North of Memorial Dr,347
2020-05-29,Inglewood Bird Sanctuary,1020
2020-05-29,Lindsay Park,475
2020-05-29,Memorial Drive at 19 St NW,2401
2020-05-29,Memorial Drive at Prince's Island,1332
2020-05-29,North Glenmore,0
2020-05-29,Nose Creek,1285
2020-05-29,Parkdale,2689
2020-05-29,Peace Bridge,2378
2020-05-29,South Glenmore,1892
2020-05-29,Wetlands,0
2020-05-30,10 Street North of 5 Ave NW,0
2020-05-30,12 Ave West of 2 St SW,908
2020-05-30,12 Ave West of 3 St SE,0
2020-05-30,12 Ave West of 8 St SW,843
2020-05-30,12 Street SE Pathway,932
2020-05-30,5 Street North of 15 Ave SW,1125
2020-05-30,5 Street North of 5 Ave SW,1121
2020-05-30,7 Street South of 3 Ave SW,88
2020-05-30,9 Ave West of 4 Street SE,174
2020-05-30,Bow River Pathway,2751
2020-05-30,Edmonton Tr North of Memorial Dr,439
2020-05-30,Inglewood Bird Sanctuary,1518
2020-05-30,Lindsay Park,876
2020-05-30,Memorial Drive at 19 St NW,3185
2020-05-30,Memorial Drive at Prince's Island,1279
2020-05-30,North Glenmore,0
2020-05-30,Nose Creek,1565
2020-05-30,Parkdale,3399
2020-05-30,Peace Bridge,2664
2020-05-30,South Glenmore,2520
2020-05-30,Wetlands,0
2020-05-31,10 Street North of 5 Ave NW,0
2020-05-31,12 Ave West of 2 St SW,204
2020-05-31,12 Ave West of 3 St SE,0
2020-05-31,12 Ave West of 8 St SW,208
2020-05-31,12 Street SE Pathway,197
2020-05-31,5 Street North of 15 Ave SW,293
2020-05-31,5 Street North of 5 Ave SW,244
2020-05-31,7 Street South of 3 Ave SW,317
2020-05-31,9 Ave West of 4 Street SE,42
2020-05-31,Bow River Pathway,709
2020-05-31,Edmonton Tr North of Memorial Dr,84
2020-05-31,Inglewood Bird Sanctuary,399
2020-05-31,Lindsay Park,177
2020-05-31,Memorial Drive at 19 St NW,830
2020-05-31,Memorial Drive at Prince's Island,315
2020-05-31,North Glenmore,0
2020-05-31,Nose Creek,410
2020-05-31,Parkdale,957
2020-05-31,Peace Bridge,915
2020-05-31,South Glenmore,803
2020-05-31,Wetlands,0
2020-06-01,10 Street North of 5 Ave NW,0
2020-06-01,12 Ave West of 2 St SW,634
2020-06-01,12 Ave West of 3 St SE,0
2020-06-01,12 Ave West of 8 St SW,629
2020-06-01,12 Street SE Pathway,463
2020-06-01,5 Street North of 15 Ave SW,747
2020-06-01,5 Street North of 5 Ave SW,762
2020-06-01,7 Street South of 3 Ave SW,434
2020-06-01,9 Ave West of 4 Street SE,187
2020-06-01,Bow River Pathway,1734
2020-06-01,Edmonton Tr North of Memorial Dr,208
2020-06-01,Inglewood Bird Sanctuary,780
2020-06-01,Lindsay Park,406
2020-06-01,Memorial Drive at 19 St NW,1705
2020-06-01,Memorial Drive at Prince's Island,835
2020-06-01,North Glenmore,0
2020-06-01,Nose Creek,959
2020-06-01,Parkdale,1765
2020-06-01,Peace Bridge,1722
2020-06-01,South Glenmore,1288
2020-06-01,Wetlands,0
2020-06-02,10 Street North of 5 Ave NW,0
2020-06-02,12 Ave West of 2 St SW,742
2020-06-02,12 Ave West of 3 St SE,0
2020-06-02,12 Ave West of 8 St SW,711
2020-06-02,12 Street SE Pathway,615
2020-06-02,5 Street North of 15 Ave SW,878
2020-06-02,5 Street North of 5 Ave SW,1031
2020-06-02,7 Street South of 3 Ave SW,401
2020-06-02,9 Ave West of 4 Street SE,180
2020-06-02,Bow River Pathway,2353
2020-06-02,Edmonton Tr North of Memorial Dr,292
2020-06-02,Inglewood Bird Sanctuary,1016
2020-06-02,Lindsay Park,474
2020-06-02,Memorial Drive at 19 St NW,2320
2020-06-02,Memorial Drive at Prince's Island,835
2020-06-02,North Glenmore,0
2020-06-02,Nose Creek,1240
2020-06-02,Parkdale,2608
2020-06-02,Peace Bridge,2105
2020-06-02,South Glenmore,1955
2020-06-02,Wetlands,0
2020-06-03,10 Street North of 5 Ave NW,0
2020-06-03,12 Ave West of 2 St SW,835
2020-06-03,12 Ave West of 3 St SE,0
2020-06-03,12 Ave West of 8 St SW,710
2020-06-03,12 Street SE Pathway,609
2020-06-03,5 Street North of 15 Ave SW,859
2020-06-03,5 Street North of 5 Ave SW,999
2020-06-03,7 Street South of 3 Ave SW,333
2020-06-03,9 Ave West of 4 Street SE,228
2020-06-03,Bow River Pathway,2175
2020-06-03,Edmonton Tr North of Memorial Dr,301
2020-06-03,Inglewood Bird Sanctuary,934
2020-06-03,Lindsay Park,382
2020-06-03,Memorial Drive at 19 St NW,1568
2020-06-03,Memorial Drive at Prince's Island,745
2020-06-03,North Glenmore,0
2020-06-03,Nose Creek,1159
2020-06-03,Parkdale,2324
2020-06-03,Peace Bridge,2225
2020-06-03,South Glenmore,1824
2020-06-03,Wetlands,0
2020-06-04,10 Street North of 5 Ave NW,0
2020-06-04,12 Ave West of 2 St SW,628
2020-06-04,12 Ave West of 3 St SE,0
2020-06-04,12 Ave West of 8 St SW,609
2020-06-04,12 Street SE Pathway,381
2020-06-04,5 Street North of 15 Ave SW,709
2020-06-04,5 Street North of 5 Ave SW,809
2020-06-04,7 Street South of 3 Ave SW,309
2020-06-04,9 Ave West of 4 Street SE,138
2020-06-04,Bow River Pathway,1652
2020-06-04,Edmonton Tr North of Memorial Dr,229
2020-06-04,Inglewood Bird Sanctuary,673
2020-06-04,Lindsay Park,321
2020-06-04,Memorial Drive at 19 St NW,1740
2020-06-04,Memorial Drive at Prince's Island,627
2020-06-04,North Glenmore,0
2020-06-04,Nose Creek,896
2020-06-04,Parkdale,1910
2020-06-04,Peace Bridge,1829
2020-06-04,South Glenmore,1331
2020-06-04,Wetlands,0
2020-06-05,10 Street North of 5 Ave NW,0
2020-06-05,12 Ave West of 2 St SW,630
2020-06-05,12 Ave West of 3 St SE,0
2020-06-05,12 Ave West of 8 St SW,596
2020-06-05,12 Street SE Pathway,447
2020-06-05,5 Street North of 15 Ave SW,706
2020-06-05,5 Street North of 5 Ave SW,809
2020-06-05,7 Street South of 3 Ave SW,314
2020-06-05,9 Ave West of 4 Street SE,142
2020-06-05,Bow River Pathway,1530
2020-06-05,Edmonton Tr North of Memorial Dr,226
2020-06-05,Inglewood Bird Sanctuary,751
2020-06-05,Lindsay Park,378
2020-06-05,Memorial Drive at 19 St NW,1821
2020-06-05,Memorial Drive at Prince's Island,711
2020-06-05,North Glenmore,0
2020-06-05,Nose Creek,915
2020-06-05,Parkdale,2093
2020-06-05,Peace Bridge,1685
2020-06-05,South Glenmore,1254
2020-06-05,Wetlands,0
2020-06-06,10 Street North of 5 Ave NW,0
2020-06-06,12 Ave West of 2 St SW,756
2020-06-06,12 Ave West of 3 St SE,0
2020-06-06,12 Ave West of 8 St SW,605
2020-06-06,12 Street SE Pathway,719
2020-06-06,5 Street North of 15 Ave SW,779
2020-06-06,5 Street North of 5 Ave SW,738
2020-06-06,7 Street South of 3 Ave SW,299
2020-06-06,9 Ave West of 4 Street SE,242
2020-06-06,Bow River Pathway,2176
2020-06-06,Edmonton Tr North of Memorial Dr,284
2020-06-06,Inglewood Bird Sanctuary,1407
2020-06-06,Lindsay Park,583
2020-06-06,Memorial Drive at 19 St NW,2613
2020-06-06,Memorial Drive at Prince's Island,928
2020-06-06,North Glenmore,0
2020-06-06,Nose Creek,1431
2020-06-06,Parkdale,3503
2020-06-06,Peace Bridge,2366
2020-06-06,South Glenmore,2248
2020-06-06,Wetlands,0
2020-06-07,10 Street North of 5 Ave NW,0
2020-06-07,12 Ave West of 2 St SW,112
2020-06-07,12 Ave West of 3 St SE,0
2020-06-07,12 Ave West of 8 St SW,112
2020-06-07,12 Street SE Pathway,57
2020-06-07,5 Street North of 15 Ave SW,119
2020-06-07,5 Street North of 5 Ave SW,102
2020-06-07,7 Street South of 3 Ave SW,37
2020-06-07,9 Ave West of 4 Street SE,25
2020-06-07,Bow River Pathway,172
2020-06-07,Edmonton Tr North of Memorial Dr,35
2020-06-07,Inglewood Bird Sanctuary,77
2020-06-07,Lindsay Park,62
2020-06-07,Memorial Drive at 19 St NW,162
2020-06-07,Memorial Drive at Prince's Island,57
2020-06-07,North Glenmore,0
2020-06-07,Nose Creek,74
2020-06-07,Parkdale,185
2020-06-07,Peace Bridge,380
2020-06-07,South Glenmore,105
2020-06-07,Wetlands,0
2020-06-08,10 Street North of 5 Ave NW,0
2020-06-08,12 Ave West of 2 St SW,580
2020-06-08,12 Ave West of 3 St SE,0
2020-06-08,12 Ave West of 8 St SW,585
2020-06-08,12 Street SE Pathway,397
2020-06-08,5 Street North of 15 Ave SW,677
2020-06-08,5 Street North of 5 Ave SW,670
2020-06-08,7 Street South of 3 Ave SW,286
2020-06-08,9 Ave West of 4 Street SE,162
2020-06-08,Bow River Pathway,1689
2020-06-08,Edmonton Tr North of Memorial Dr,207
2020-06-08,Inglewood Bird Sanctuary,692
2020-06-08,Lindsay Park,323
2020-06-08,Memorial Drive at 19 St NW,1714
2020-06-08,Memorial Drive at Prince's Island,627
2020-06-08,North Glenmore,0
2020-06-08,Nose Creek,821
2020-06-08,Parkdale,2209
2020-06-08,Peace Bridge,489
2020-06-08,South Glenmore,1283
2020-06-08,Wetlands,0
2020-06-09,10 Street North of 5 Ave NW,0
2020-06-09,12 Ave West of 2 St SW,748
2020-06-09,12 Ave West of 3 St SE,0
2020-06-09,12 Ave West of 8 St SW,764
2020-06-09,12 Street SE Pathway,631
2020-06-09,5 Street North of 15 Ave SW,837
2020-06-09,5 Street North of 5 Ave SW,994
2020-06-09,7 Street South of 3 Ave SW,364
2020-06-09,9 Ave West of 4 Street SE,185
2020-06-09,Bow River Pathway,2393
2020-06-09,Edmonton Tr North of Memorial Dr,295
2020-06-09,Inglewood Bird Sanctuary,1004
2020-06-09,Lindsay Park,526
2020-06-09,Memorial Drive at 19 St NW,2433
2020-06-09,Memorial Drive at Prince's Island,830
2020-06-09,North Glenmore,0
2020-06-09,Nose Creek,1357
2020-06-09,Parkdale,2853
2020-06-09,Peace Bridge,204
2020-06-09,South Glenmore,1921
2020-06-09,Wetlands,0
2020-06-10,10 Street North of 5 Ave NW,0
2020-06-10,12 Ave West of 2 St SW,949
2020-06-10,12 Ave West of 3 St SE,0
2020-06-10,12 Ave West of 8 St SW,960
2020-06-10,12 Street SE Pathway,708
2020-06-10,5 Street North of 15 Ave SW,1087
2020-06-10,5 Street North of 5 Ave SW,1183
2020-06-10,7 Street South of 3 Ave SW,383
2020-06-10,9 Ave West of 4 Street SE,204
2020-06-10,Bow River Pathway,2810
2020-06-10,Edmonton Tr North of Memorial Dr,295
2020-06-10,Inglewood Bird Sanctuary,1149
2020-06-10,Lindsay Park,550
2020-06-10,Memorial Drive at 19 St NW,2624
2020-06-10,Memorial Drive at Prince's Island,990
2020-06-10,North Glenmore,0
2020-06-10,Nose Creek,1478
2020-06-10,Parkdale,2993
2020-06-10,Peace Bridge,252
2020-06-10,South Glenmore,2113
2020-06-10,Wetlands,0
2020-06-11,10 Street North of 5 Ave NW,0
2020-06-11,12 Ave West of 2 St SW,852
2020-06-11,12 Ave West of 3 St SE,0
2020-06-11,12 Ave West of 8 St SW,812
2020-06-11,12 Street SE Pathway,609
2020-06-11,5 Street North of 15 Ave SW,959
2020-06-11,5 Street North of 5 Ave SW,957
2020-06-11,7 Street South of 3 Ave SW,353
2020-06-11,9 Ave West of 4 Street SE,168
2020-06-11,Bow River Pathway,2363
2020-06-11,Edmonton Tr North of Memorial Dr,302
2020-06-11,Inglewood Bird Sanctuary,969
2020-06-11,Lindsay Park,535
2020-06-11,Memorial Drive at 19 St NW,2222
2020-06-11,Memorial Drive at Prince's Island,922
2020-06-11,North Glenmore,0
2020-06-11,Nose Creek,1290
2020-06-11,Parkdale,2476
2020-06-11,Peace Bridge,1556
2020-06-11,South Glenmore,1792
2020-06-11,Wetlands,0
2020-06-12,10 Street North of 5 Ave NW,0
2020-06-12,12 Ave West of 2 St SW,627
2020-06-12,12 Ave West of 3 St SE,0
2020-06-12,12 Ave West of 8 St SW,702
2020-06-12,12 Street SE Pathway,486
2020-06-12,5 Street North of 15 Ave SW,785
2020-06-12,5 Street North of 5 Ave SW,793
2020-06-12,7 Street South of 3 Ave SW,313
2020-06-12,9 Ave West of 4 Street SE,189
2020-06-12,Bow River Pathway,1682
